agenda_item_id,parcel_ids,legal_descriptions,street_addresses,cross_streets,confidence,resolved_lat,resolved_lng,resolved_via,extracted_at
pmn_1074857,[],[],"[""1020 E Pioneer Rd, Draper, Utah 84020""]",[],medium,40.5251449,-111.8757746,address,2026-05-05T21:29:50.139583+00:00
pmn_1059139_item0,[],"[""Stadion property""]",[],[],low,,,,2026-05-05T21:29:52.296024+00:00
pmn_1063923_item2,[],[],[],[],low,,,,2026-05-05T21:29:53.125772+00:00
pmn_1067481_item0,[],[],[],[],low,,,,2026-05-05T21:29:55.994586+00:00
pmn_1072203,[],[],"[""1650 Stagecoach Run, Eagle Mountain, Utah""]",[],low,40.3093503,-112.0120054,address,2026-05-05T21:29:58.163893+00:00
pmn_1073183,[],[],"[""1331 Virtual Drive, Eagle Mountain, UT""]",[],low,,,,2026-05-05T21:30:00.728775+00:00
pmn_1072279,[],[],[],[],low,,,,2026-05-05T21:30:01.388047+00:00
pmn_1074287,[],[],"[""1835 S. Convention Center Drive, St George, UT 84790""]",[],low,,,,2026-05-05T21:30:05.192117+00:00
pmn_1074655,[],[],[],[],low,,,,2026-05-05T21:30:05.891367+00:00
pmn_1073331_item2,[],[],[],[],low,,,,2026-05-05T21:30:06.607490+00:00
pmn_1075273_item0,[],[],[],[],low,,,,2026-05-05T21:30:07.594074+00:00
pmn_1075893,[],[],"[""1650 E STAGECOACH RUN, EAGLE MOUNTAIN, UT 84005""]",[],low,40.3093503,-112.0120054,address,2026-05-05T21:30:09.721660+00:00
pmn_1075503_item0,[],[],[],[],low,,,,2026-05-05T21:30:10.582644+00:00
pmn_1075503_item1,[],"[""Brandon Park development""]",[],[],low,,,,2026-05-05T21:30:12.828567+00:00
pmn_1077095_item0,[],[],[],[],low,,,,2026-05-05T21:30:13.587854+00:00
pmn_1076475_item0,[],[],[],[],low,,,,2026-05-05T21:30:14.380361+00:00
pmn_1076475_item2,[],[],[],[],low,,,,2026-05-05T21:30:15.140438+00:00
pmn_1051103,[],[],"[""2163 W. Erda Way, Erda UT""]",[],low,40.6008601,-112.3554442,address,2026-05-05T21:30:17.296129+00:00
pmn_1057383,[],[],"[""2163 W. Erda Way, Erda UT""]",[],low,40.6008601,-112.3554442,address,2026-05-05T21:30:19.211535+00:00
pmn_1055539,[],[],"[""2163 W Erda Way, Erda, UT""]",[],low,40.6008601,-112.3554442,address,2026-05-05T21:30:21.448064+00:00
pmn_1055537,[],[],"[""2163 W. Erda Way, Erda, UT""]",[],medium,40.6008601,-112.3554442,address,2026-05-05T21:30:23.769714+00:00
pmn_1061793,[],[],"[""2163 W. Erda Way, Erda UT""]",[],low,40.6008601,-112.3554442,address,2026-05-05T21:30:25.670445+00:00
pmn_1065007,[],[],"[""2163 West Erda Way, Erda, Utah""]",[],low,40.6008601,-112.3554442,address,2026-05-05T21:30:28.174097+00:00
pmn_1068037,[],[],"[""2163 W. Erda Way, Erda UT""]",[],low,40.6008601,-112.3554442,address,2026-05-05T21:30:30.074467+00:00
pmn_1069171,[],[],"[""2163 West Erda Way, Erda, Utah""]",[],medium,40.6008601,-112.3554442,address,2026-05-05T21:30:32.078345+00:00
pmn_1068039,[],[],[],[],low,,,,2026-05-05T21:30:32.761924+00:00
pmn_1070977,[],[],"[""2163 W. Erda Way, Erda UT""]",[],medium,40.6008601,-112.3554442,address,2026-05-05T21:30:34.692841+00:00
web_5380202787286248985,[],[],"[""429 East Main Street, Grantsville, Utah""]",[],low,40.6000544,-112.4462816,address,2026-05-05T21:30:37.197563+00:00
web_7354567608321718398,[],[],"[""429 East Main Street, Grantsville, UT 84029""]",[],low,40.6000544,-112.4462816,address,2026-05-05T21:30:39.592120+00:00
web_3721851813758192997,[],[],"[""429 East Main Street, Grantsville UT 84029""]",[],low,40.6000544,-112.4462816,address,2026-05-05T21:30:41.767678+00:00
web_7490641424836089581,[],[],"[""512 Sheep Ln, Tooele, UT 84074""]",[],medium,40.5800481,-112.3790569,address,2026-05-05T21:30:44.009528+00:00
web_7789673228185335110,[],[],"[""429 East Main Street, Grantsville UT 84029""]",[],low,40.6000544,-112.4462816,address,2026-05-05T21:30:48.455015+00:00
web_7426587180404385455,[],[],"[""429 EAST MAIN STREET, GRANTSVILLE, UTAH""]",[],low,40.6000544,-112.4462816,address,2026-05-05T21:30:50.688460+00:00
web_6247059780233988492,[],[],"[""429 East Main Street, Grantsville, Utah""]",[],medium,40.6000544,-112.4462816,address,2026-05-05T21:30:52.574270+00:00
web_5897697634082682783,[],[],"[""429 East Main Street, Grantsville UT 84029""]",[],low,40.6000544,-112.4462816,address,2026-05-05T21:30:54.401180+00:00
web_3623938718540221045,[],[],"[""429 EAST MAIN STREET, GRANTSVILLE, UTAH""]",[],low,40.6000544,-112.4462816,address,2026-05-05T21:30:56.696747+00:00
web_3845922998965798036,[],[],"[""429 East Main Street, Grantsville, Utah""]",[],low,40.6000544,-112.4462816,address,2026-05-05T21:30:58.968991+00:00
web_3821999958876782004,[],[],"[""429 East Main Street, Grantsville, UT 84029""]",[],low,40.6000544,-112.4462816,address,2026-05-05T21:31:01.854122+00:00
pmn_1067817,[],[],"[""429 East Main Street, Grantsville, UT 84029""]",[],low,40.6000544,-112.4462816,address,2026-05-05T21:31:03.806822+00:00
web_4759658177115781210,[],[],"[""429 East Main Street, Grantsville UT 84029""]",[],low,40.6000544,-112.4462816,address,2026-05-05T21:31:05.814063+00:00
web_3131478631900967936,[],[],"[""429 East Main Street""]",[],low,40.6000544,-112.4462816,address,2026-05-05T21:31:08.415584+00:00
web_4314002039176786464,[],[],"[""429 East Main Street, Grantsville UT 84029""]",[],low,40.6000544,-112.4462816,address,2026-05-05T21:31:10.272855+00:00
pmn_1070237,[],"[""Desert Edge Subdivision""]","[""1179 West Vegas Street, Grantsville, Utah""]",[],medium,,,,2026-05-05T21:31:14.056143+00:00
pmn_1071235_item0,[],[],[],[],low,,,,2026-05-05T21:31:14.762091+00:00
web_1270936940712282084,[],[],"[""429 East Main Street, Grantsville UT 84029""]",[],low,40.6000544,-112.4462816,address,2026-05-05T21:31:16.603441+00:00
pmn_1071659,[],[],"[""429 E. Main Street, Grantsville, Utah, 84029""]",[],low,40.6000544,-112.4462816,address,2026-05-05T21:31:19.203361+00:00
web_6260535722701986129,[],[],[],[],low,,,,2026-05-05T21:31:20.346435+00:00
web_9114385691602629744,[],[],"[""429 East Main Street, Grantsville UT 84029""]",[],low,40.6000544,-112.4462816,address,2026-05-05T21:31:22.996571+00:00
pmn_1076973,[],[],"[""429 East Main Street, Grantsville UT 84029""]",[],low,40.6000544,-112.4462816,address,2026-05-05T21:31:25.041143+00:00
pmn_1075747_item0,[],[],[],[],low,,,,2026-05-05T21:31:25.962354+00:00
pmn_1048501,[],[],"[""5355 West Herriman Main Street, Herriman, Utah""]",[],medium,40.5164932,-112.0168329,address,2026-05-05T21:31:28.072189+00:00
pmn_1054199,[],[],"[""5355 WEST HERRIMAN MAIN STREET, HERRIMAN, UTAH""]",[],low,40.5164932,-112.0168329,address,2026-05-05T21:31:30.323308+00:00
pmn_1057507,[],[],"[""5355 WEST HERRIMAN MAIN STREET, HERRIMAN, UTAH""]",[],low,40.5164932,-112.0168329,address,2026-05-05T21:31:32.411829+00:00
pmn_1064159_item0,[],"[""POD 7 within the South Hills Amended & Restated Master Planned Development Agreement (ARMDA)""]",[],[],medium,,,,2026-05-05T21:31:34.756780+00:00
pmn_1064165_item0,[],"[""POD 17 within the South Hills Amended & Restated Master Planned Development Agreement""]",[],[],low,,,,2026-05-05T21:31:37.146043+00:00
pmn_1064161_item0,[],"[""POD 16 within the South Hills Amended & Restated Master Planned Development Agreement (ARMDA)""]",[],[],medium,,,,2026-05-05T21:31:39.281495+00:00
pmn_1065867_item0,[],"[""Pod 7 within South Hills Amended & Restated Master Planned Development""]",[],[],medium,,,,2026-05-05T21:31:41.686667+00:00
pmn_1067623,[],[],"[""5355 WEST HERRIMAN MAIN STREET, HERRIMAN, UTAH""]",[],medium,40.5164932,-112.0168329,address,2026-05-05T21:31:43.697509+00:00
pmn_1071977_item0,[],[],[],[],low,,,,2026-05-05T21:31:44.466377+00:00
pmn_1073489,[],[],[],[],low,,,,2026-05-05T21:31:45.221314+00:00
pmn_1065815_item0,[],"[""Traverse Mountain Area Plan"", ""West Canyon""]","[""Timpanogos Highway""]",[],low,40.4325309,-111.8592846,address,2026-05-05T21:31:47.783571+00:00
pmn_1065815_item6,[],[],[],[],low,,,,2026-05-05T21:31:48.922409+00:00
pmn_1071479,[],[],"[""131 N. 100 E., Lehi, Utah""]",[],low,40.3986367,-111.84782,address,2026-05-05T21:31:51.817996+00:00
pmn_1071483_item0,[],[],[],[],low,,,,2026-05-05T21:31:52.677581+00:00
pmn_1071483_item1,[],"[""Thanksgiving Point Housing Transit Reinvestment Zone""]",[],[],low,,,,2026-05-05T21:31:55.094402+00:00
pmn_1071483_item2,[],"[""Thanksgiving Point Housing Transit Reinvestment Zone""]",[],[],low,,,,2026-05-05T21:31:57.532320+00:00
pmn_1074877,[],[],"[""131 N. 100 E., Lehi, Utah""]",[],low,40.3986367,-111.84782,address,2026-05-05T21:31:59.480441+00:00
pmn_1070499,[],[],"[""131 North 100 East, Lehi, Utah""]",[],low,40.4213651,-111.8480146,address,2026-05-05T21:32:01.965653+00:00
pmn_1076379_item0,[],[],"[""535 South Mill Pond Drive, Lehi""]",[],medium,,,,2026-05-05T21:32:04.581368+00:00
pmn_1061019_item2,[],[],[],[],low,,,,2026-05-05T21:32:05.279324+00:00
pmn_1064189_item0,[],"[""Beacon Pointe Village Plan 8 (Porter Haven)""]",[],"[""Ensign Drive and Mountain View Corridor""]",high,,,,2026-05-05T21:32:09.334470+00:00
pmn_1067529_item0,[],[],[],[],low,,,,2026-05-05T21:32:10.077689+00:00
pmn_1066116_item1,[],[],[],[],low,,,,2026-05-05T21:32:10.718513+00:00
pmn_1067635_item4,[],[],[],[],low,,,,2026-05-05T21:32:11.467123+00:00
pmn_1069151,[],[],"[""319 South Saratoga Road, Saratoga Springs, UT 84045""]",[],low,40.3511886,-111.9034445,address,2026-05-05T21:32:13.918081+00:00
pmn_1069331,[],[],[],[],low,,,,2026-05-05T21:32:14.883602+00:00
pmn_1069459,[],[],"[""319 S. Saratoga Road, Saratoga Springs UT, 84045""]",[],low,40.3567918,-111.9008823,address,2026-05-05T21:32:17.492364+00:00
pmn_1070005_item0,[],[],[],[],low,,,,2026-05-05T21:32:18.142553+00:00
pmn_1072019_item0,[],[],[],[],low,,,,2026-05-05T21:32:18.829866+00:00
pmn_1074423_item0,[],[],[],[],low,,,,2026-05-05T21:32:19.567770+00:00
pmn_1073749_item0,[],[],[],[],low,,,,2026-05-05T21:32:20.317935+00:00
pmn_1077383,[],[],"[""319 South Saratoga Road, Saratoga Springs, UT 84045""]",[],low,40.3511886,-111.9034445,address,2026-05-05T21:32:22.384595+00:00
pmn_1077243_item0,[],[],[],[],low,,,,2026-05-05T21:32:23.114747+00:00
pmn_1063935,[],[],"[""1600 W. Towne Center Drive, South Jordan, Utah""]",[],low,40.5582032,-111.9364438,address,2026-05-05T21:32:26.258309+00:00
pmn_1067391,[],[],[],[],low,,,,2026-05-05T21:32:26.959818+00:00
pmn_1070571,[],[],"[""1600 W. Towne Center Drive, South Jordan, Utah""]",[],low,40.5582032,-111.9364438,address,2026-05-05T21:32:28.881052+00:00
pmn_1070569,[],[],"[""1600 W. Towne Center Drive, South Jordan, Utah""]",[],low,40.5582032,-111.9364438,address,2026-05-05T21:32:31.257840+00:00
pmn_1069257_item2,[],[],[],[],low,,,,2026-05-05T21:32:32.058476+00:00
pmn_1066725,[],[],"[""1600 W. Towne Center Drive, South Jordan, UT 84095""]",[],low,40.5585011,-111.9386782,address,2026-05-05T21:32:34.411876+00:00
pmn_1071761,[],[],"[""10655 S. Redwood Road, South Jordan, UT 84095""]",[],medium,40.5575873,-111.9386896,address,2026-05-05T21:32:37.909674+00:00
pmn_1071937,[],[],"[""1600 W. Towne Center Drive, South Jordan, Utah""]",[],low,40.5582032,-111.9364438,address,2026-05-05T21:32:39.935045+00:00
pmn_1071741,[],[],"[""1600 W. Towne Center Drive, South Jordan, Utah""]",[],low,40.5582032,-111.9364438,address,2026-05-05T21:32:43.328093+00:00
pmn_1066729,[],[],[],[],low,,,,2026-05-05T21:32:44.588689+00:00
pmn_1075399,[],[],"[""1600 W. Towne Center Drive, South Jordan, Utah""]",[],low,40.5582032,-111.9364438,address,2026-05-05T21:32:46.524877+00:00
pmn_1077255,[],[],"[""1600 W. Towne Center Drive, South Jordan, Utah""]",[],low,40.5582032,-111.9364438,address,2026-05-05T21:32:48.856419+00:00
pmn_1077257,[],[],"[""1600 W. Towne Center Drive, South Jordan, Utah""]",[],low,40.5582032,-111.9364438,address,2026-05-05T21:32:50.795678+00:00
pmn_1075375_item0,[],[],[],[],low,,,,2026-05-05T21:32:51.573475+00:00
pmn_1077051,[],[],[],[],low,,,,2026-05-05T21:32:52.960270+00:00
pmn_1054777,[],[],"[""1223 N. Highway 40 Heber City, UT 84032"", ""160 W Main Street, Midway, UT 84049""]",[],low,,,,2026-05-05T21:32:57.417116+00:00
pmn_1059415,[],[],"[""80 South Main Street, Spanish Fork, Utah 84660""]",[],low,40.1088636,-111.6553552,address,2026-05-05T21:32:59.794224+00:00
pmn_1070257,[],[],"[""80 South Main Street, Spanish Fork, Utah 84660""]",[],low,40.1088636,-111.6553552,address,2026-05-05T21:33:01.756585+00:00
pmn_1073721,[],[],"[""80 South Main Street, Spanish Fork, Utah 84660""]",[],low,40.1088636,-111.6553552,address,2026-05-05T21:33:03.774163+00:00
pmn_1077015,[],[],"[""80 South Main Street, Spanish Fork, Utah 84660""]",[],low,40.1088636,-111.6553552,address,2026-05-05T21:33:06.011591+00:00
pmn_1062105,[],[],"[""90 North Main Street, Tooele, Utah""]",[],low,40.3377761,-112.446315,address,2026-05-05T21:33:08.777165+00:00
pmn_1062897,[],[],"[""90 North Main Street, Tooele, Utah""]",[],low,40.3377761,-112.446315,address,2026-05-05T21:33:10.683151+00:00
pmn_1066134,[],[],[],[],low,,,,2026-05-05T21:33:11.647137+00:00
pmn_1068081_item1,[],[],[],[],low,,,,2026-05-05T21:33:12.411553+00:00
pmn_1066030_item0,[],[],[],[],low,,,,2026-05-05T21:33:13.866635+00:00
pmn_1072259,[],[],"[""90 North Main Street, Tooele, Utah""]",[],low,40.3377761,-112.446315,address,2026-05-05T21:33:15.804722+00:00
pmn_1072133_item0,[],[],[],[],low,,,,2026-05-05T21:33:17.368350+00:00
pmn_1072157_item0,[],[],"[""1664 N Ashlin Court""]",[],medium,,,,2026-05-05T21:33:19.661246+00:00
pmn_1074319_item1,[],[],[],[],low,,,,2026-05-05T21:33:21.772305+00:00
pmn_1077305_item0,[],[],[],[],low,,,,2026-05-05T21:33:22.731395+00:00
pmn_1077323_item0,[],[],[],[],low,,,,2026-05-05T21:33:23.489043+00:00
pmn_1044705,[],[],[],[],low,,,,2026-05-05T21:33:24.268085+00:00
pmn_1052447,[],[],[],[],low,,,,2026-05-05T21:33:25.078826+00:00
pmn_1055711,[],[],[],[],low,,,,2026-05-05T21:33:25.857863+00:00
pmn_1059381,[],[],[],[],low,,,,2026-05-05T21:33:26.612086+00:00
pmn_1062551_item0,[],"[""The Forge project""]",[],[],low,,,,2026-05-05T21:33:29.308134+00:00
pmn_1062551_item1,[],[],[],[],low,,,,2026-05-05T21:33:30.096815+00:00
pmn_1066204,[],[],"[""125 South Main Street, Vineyard, UT""]",[],low,,,,2026-05-05T21:33:32.482536+00:00
pmn_1065873_item2,[],"[""Utah City Wellness Center and Resort Pool, Phase 2""]",[],[],low,,,,2026-05-05T21:33:34.912892+00:00
pmn_1068783,[],[],[],[],low,,,,2026-05-05T21:33:35.633490+00:00
pmn_1069031,[],[],[],[],low,,,,2026-05-05T21:33:36.578406+00:00
pmn_1072411,[],[],[],[],low,,,,2026-05-05T21:33:37.328830+00:00
pmn_1072523,[],[],[],[],low,,,,2026-05-05T21:33:38.003323+00:00
pmn_1077209_item0,[],[],[],[],low,,,,2026-05-05T21:33:38.735203+00:00
pmn_1077143_item0,[],[],[],[],low,,,,2026-05-05T21:33:39.648934+00:00
pmn_1077143_item1,[],"[""Utah City Wellness Center and Resort Pool Phase 2""]",[],[],low,,,,2026-05-05T21:33:42.021395+00:00
pmn_1077157,[],[],"[""125 South Main Street, Vineyard, Utah""]",[],low,,,,2026-05-05T21:33:44.703285+00:00
